,patron,posicion,longitud,intencion,df_cat,n_cat,cobertura_cat,df_resto,cobertura_resto,especificidad,log_odds
61,ajá,final,3,AFI,21,71,0.2958,0,0.0,1.0,5.888
62,upalli,final,5,AFI,6,71,0.0845,0,0.0,1.0,4.431
63,mupalli,final,6,AFI,6,71,0.0845,0,0.0,1.0,4.431
64,rpi,final,3,AFI,5,71,0.0704,0,0.0,1.0,4.249
65,iperpi,final,6,AFI,5,71,0.0704,0,0.0,1.0,4.249
66,erpi,final,4,AFI,5,71,0.0704,0,0.0,1.0,4.249
67,perpi,final,5,AFI,5,71,0.0704,0,0.0,1.0,4.249
68,nu'su',final,6,AFI,5,71,0.0704,1,0.0024,0.8333,3.148
69,iñer',final,5,AFI,4,71,0.0563,1,0.0024,0.8,2.933
70,ñer',final,4,AFI,4,71,0.0563,1,0.0024,0.8,2.933
71,kinchi,final,5,AFI,9,71,0.1268,3,0.0071,0.75,2.905
72,ekinchi,final,6,AFI,9,71,0.1268,3,0.0071,0.75,2.905
73,nchi,final,3,AFI,9,71,0.1268,3,0.0071,0.75,2.905
74,inchi,final,4,AFI,9,71,0.1268,3,0.0071,0.75,2.905
75,pi'ñi,final,5,NEG,15,70,0.2143,0,0.0,1.0,5.469
76,iden,final,4,NEG,13,70,0.1857,0,0.0,1.0,5.295
77,ñiden,final,5,NEG,13,70,0.1857,0,0.0,1.0,5.295
78,den,final,3,NEG,13,70,0.1857,0,0.0,1.0,5.295
79,api'ñi,final,6,NEG,12,70,0.1714,0,0.0,1.0,5.201
80,npi',final,4,NEG,9,70,0.1286,0,0.0,1.0,4.876
81,pi',final,3,NEG,9,70,0.1286,0,0.0,1.0,4.876
82,ñinpi',final,6,NEG,8,70,0.1143,0,0.0,1.0,4.749
83,inpi',final,5,NEG,8,70,0.1143,0,0.0,1.0,4.749
84,'ñi,final,3,NEG,27,70,0.3857,2,0.0047,0.931,4.671
85,i'ñi,final,4,NEG,26,70,0.3714,2,0.0047,0.9286,4.612
86,'inpu',final,6,NEG,6,70,0.0857,0,0.0,1.0,4.449
87,ñi,final,2,NEG,27,70,0.3857,4,0.0094,0.871,4.079
88,ñi'ñi,final,5,NEG,4,70,0.0571,0,0.0,1.0,4.051
89,inpu',final,5,NEG,6,70,0.0857,1,0.0024,0.8571,3.348
90,ka,final,2,DES,6,71,0.0845,0,0.0,1.0,4.431
91,'ka,final,3,DES,6,71,0.0845,0,0.0,1.0,4.431
92,ka'ka,final,5,DES,6,71,0.0845,0,0.0,1.0,4.431
93,winek,final,5,DES,6,71,0.0845,0,0.0,1.0,4.431
94,a'ka,final,4,DES,6,71,0.0845,0,0.0,1.0,4.431
95,llidek,final,5,DES,6,71,0.0845,0,0.0,1.0,4.431
96,uka'ka,final,6,DES,6,71,0.0845,0,0.0,1.0,4.431
97,awinek,final,6,DES,4,71,0.0563,0,0.0,1.0,4.034
98,allidek,final,6,DES,4,71,0.0563,0,0.0,1.0,4.034
99,inek,final,4,DES,6,71,0.0845,2,0.0047,0.75,2.817
100,palek,final,5,DES,11,71,0.1549,6,0.0142,0.6471,2.502
101,apalek,final,6,DES,9,71,0.1268,5,0.0118,0.6429,2.448
102,idek,final,4,DES,7,71,0.0986,5,0.0118,0.5833,2.18
103,dek,final,3,DES,10,71,0.1408,13,0.0307,0.4348,1.647
104,alek,final,4,DES,11,71,0.1549,15,0.0355,0.4231,1.611
